HUD_unit_occupancy_rate,average_Jan_temperature,average_summer_temperature,city_or_urban,gini_coefficient_2016,high_housing_density,house_price_index_2009,log_median_rent,medicare_reimbursements_per_enrollee,migration_4_year_change,net_migration,number_eviction,percentage_excessive_drinking,percentage_owners_cost_burden_2016,percentage_renters_severe_cost_burden_2016,poverty_rate,proportion_one_person_households,rate_unemployment,rental_vacancy_rate,share_HUD_units,share_built_before_1940,share_no_bachelors,share_overcrowded_units_2016,share_renters_2016,share_under_18_with_single_parent,share_veteran_status,suburban,total_Jan_precipitation,total_annual_precipitation,utility_costs
93.0,47.2299995422363,75.7799987792969,1,45.25,0,51.7482052645573,2.17133688926697,10.59034,0.685505092144012,5923,0,0.178657010197639,18.7041492462158,30.1326751708984,14.3359470367432,19.8699188232422,8.12799453735352,4.6360297203064,3.22453427314758,7.18732118606567,81.905158996582,7.16035127639771,44.3184013366699,22.829927444458,6.99371242523193,0,7.40000009536743,18.3299999237061,18.0
93.3577346801758,32.6391410827637,63.7929763793945,0,43.9392471313477,0,3.0914690829218,1.91570937633514,8.66845351820844,1.47824966907501,21753,2442,0.179100960493088,16.0408039093018,26.5885734558105,14.5478439331055,26.9025230407715,5.36835289001465,4.86569261550903,3.22328281402588,11.2391233444214,77.5629730224609,3.44483661651611,36.3237342834473,22.909049987793,12.9884567260742,0,7.87779903411865,65.0377502441406,12.9380750656128
95.0,28.3500003814697,71.6699981689453,0,45.629997253418,0,-3.04799676838897,1.70292818546295,9.91867,-0.0034553408622741,-930,1646,0.192703053355217,13.7484951019287,29.1254348754883,17.1973896026611,31.2891387939453,5.32736873626709,5.8727707862854,4.76239490509033,18.1272468566895,77.1095275878906,1.3627964258194,27.8564834594727,32.1888999938965,9.96292114257813,1,3.02999997138977,35.0999984741211,16.0
91.0,43.9900016784668,78.5966644287109,1,47.9000015258789,1,11.3438818073777,2.0425181388855,9.25335,-0.0556094646453857,3548,3043,0.172402679920197,13.5158433914185,25.2081146240234,15.3925552368164,32.8055877685547,4.50405406951904,5.8228611946106,4.22881841659546,6.03854560852051,51.8661575317383,2.63395142555237,46.8693389892578,34.2519378662109,7.59438276290894,0,3.41000008583069,49.2299995422363,15.0
100.0,33.8699989318848,66.2099990844727,0,45.8699989318848,0,7.4231766012588,2.0347056388855,8.28707,0.769486248493195,2826,473,0.206860706210136,18.1353187561035,31.9520149230957,14.5263757705688,28.3842868804932,5.71766471862793,3.66477704048157,3.09733581542969,7.13813209533691,75.3339233398438,2.86653399467468,37.0505790710449,25.1313781738281,13.9562902450562,1,8.22999954223633,43.810001373291,13.0
92.2518615722656,30.2829093933105,70.6843795776367,0,45.2986793518066,0,13.1384631166372,1.78049457073212,9.31365695368244,-0.144037112593651,-2967,97,0.207300379872322,12.6033325195313,26.4268436431885,13.2682723999023,32.7204055786133,5.08830070495605,6.10462284088135,5.27376890182495,33.4910583496094,68.4608001708984,1.06848990917206,32.7452392578125,29.2189331054688,9.26575374603271,1,2.95325088500977,33.566837310791,13.3872776031494
96.0,49.2799987792969,80.0733337402344,0,45.3400001525879,1,10.2756049008888,2.15292429924011,9.25393,-0.170527577400208,3349,5501,0.183371320366859,11.8090267181396,22.7322807312012,9.78657627105713,24.9522933959961,4.58205699920654,6.49608755111694,1.16696405410767,1.17372500896454,53.1720314025879,1.78214907646179,36.1272201538086,23.837474822998,8.97674465179443,1,7.07999992370605,35.3400001525879,18.5
95.0,64.1100006103516,82.8199996948242,0,45.2799987792969,0,20.9179552273252,2.06559610366821,10.37818,1.55866527557373,13133,1481,0.183213412761688,14.6863479614258,26.3182163238525,14.5402565002441,30.291524887085,5.09854078292847,10.8929967880249,1.98892498016357,0.856344759464264,71.4502487182617,1.4302077293396,28.3175792694092,27.9813327789307,15.81383228302,1,1.99000000953674,56.2799987792969,14.6999998092651
93.0,37.1800003051758,75.5,0,46.9199981689453,1,-0.0457161297262445,2.45100522041321,12.23327,0.125302776694298,-1056,5,0.203193247318268,19.8762016296387,30.6355476379395,6.99860525131226,25.8584251403809,4.4469633102417,4.396080493927,4.09641695022583,14.6059904098511,54.0110511779785,1.51072704792023,26.2788352966309,17.3749008178711,6.82668781280518,1,5.03000020980835,41.75,11.3000001907349
91.6269836425781,29.7124481201172,69.5808792114258,0,45.8581733703613,0,-6.50817917961442,1.94730746746063,9.50761250244181,-0.216563805937767,-364,23,0.200527086853981,16.2241344451904,27.1767578125,13.6345205307007,30.1069030761719,4.21758079528809,8.82936668395996,2.23152017593384,31.2386417388916,74.3464889526367,1.26967692375183,26.2918949127197,23.9755935668945,9.8797607421875,0,3.53129625320435,33.8185234069824,16.6826725006104
